question,category,answer
paani kahan se milay ga,water,School ke pass water filter plant hai
paani peene ka time kya hai,water,Recess mein paani pi sakte ho
bottle bharni ho to kahan jaayen,water,Class ke bahar cooler laga hai
paani saaf hai ya nahi,water,Haan paani RO filter se saaf kiya jata hai
paani ki bottle laana zaroori hai kya,water,Ji han apni bottle sath laayen
agar paani khatam ho jaye to kya karen,water,Office se refill karwa sakte ho
cooler kharab ho to kise batayen,water,Chowkidar ya class teacher ko batao
thanda paani milta hai kya,water,Ji han cooler mein thanda paani hota hai
washroom ke pass paani ka nal hai kya,water,Ji han har washroom ke bahar nal laga hai
paani filter kitni dair mein saaf hota hai,water,Filter roz saaf kiya jata hai
kya paani free milta hai,water,Ji han paani bilkul free hai
summer mein extra paani milta hai kya,water,Garmi mein extra cooler laga diye jate hain
fees kab tak jama karni hai,fees,Har month ki das tareekh tak fees jama karni hai
late fees pay karne pe fine lagta hai kya,fees,Ji han das tareekh ke baad fine lagta hai
fees online pay ho sakti hai kya,fees,Ji han bank app se bhi pay kar sakte ho
fees kitni hai is class ki,fees,Class ki fees office se pata chalegi
scholarship milti hai kya,fees,Achay number laane walon ko scholarship milti hai
fees receipt kahan se milegi,fees,Office se receipt collect kar sakte ho
fees na dene par kya hoga,fees,Naam list se hata diya jayega
installment mein fees de sakte hain kya,fees,Ji han principal se baat karke installment ho sakti hai
admission fees alag hoti hai kya,fees,Ji han admission fees ek dafa lagti hai
exam fees kab jama honi hai,fees,Exam se do hafte pehle exam fees jama karni hai
fees miss ho jaye to kya karen,fees,Office jaake fine ke sath jama karwa do
sibling discount milta hai kya,fees,Ji han do bhai behan par discount milta hai
aaj ka homework kya hai,homework,Aaj ka homework diary mein likha hai
homework late submit kar sakte hain kya,homework,Ji han lekin marks kat jate hain
homework na kiya to kya hoga,homework,Teacher warning degi aur parents ko inform karegi
homework online submit karna hai kya,homework,Ji han app par upload karna hai
homework kitna time leta hai,homework,Rozana takreeban ek ghanta lagta hai
homework check kaun karta hai,homework,Subject teacher homework check karti hai
group homework allowed hai kya,homework,Ji han lekin har student ka naam likhna zaroori hai
homework copy se copy kar sakte hain kya,homework,Nahi khud se karna zaroori hai
weekend par homework milta hai kya,homework,Ji han thora sa homework milta hai
homework diary kho jaye to kya karen,homework,Class fellow se likh lo aur teacher ko batao
extra homework mil sakta hai kya practice ke liye,homework,Ji han teacher se request kar sakte ho
homework submit karne ki last date kya hai,homework,Agle din subah tak submit karna hota hai
